,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,neutral,33.0
3,100.jpg,white,neutral,37.0
4,101.jpg,middle eastern,neutral,43.0
5,102.jpg,white,fear,44.0
6,103.jpg,middle eastern,sad,37.0
7,104.jpg,white,neutral,40.0
8,105.jpg,middle eastern,sad,37.0
9,106.jpg,white,neutral,39.0
10,107.jpg,white,surprise,42.0
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,middle eastern,neutral,35.0
14,110.jpg,,,
15,111.jpg,white,sad,34.0
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,12.jpg,middle eastern,neutral,35.0
23,13.jpg,middle eastern,sad,35.0
24,14.jpg,latino hispanic,sad,35.0
25,15.jpg,latino hispanic,neutral,36.0
26,16.jpg,middle eastern,neutral,36.0
27,17.jpg,latino hispanic,neutral,35.0
28,18.jpg,latino hispanic,neutral,35.0
29,19.jpg,,,
30,2.jpg,,,
31,20.jpg,white,neutral,39.0
32,21.jpg,white,happy,40.0
33,22.jpg,white,neutral,41.0
34,23.jpg,white,neutral,40.0
35,24.jpg,white,sad,46.0
36,25.jpg,white,neutral,41.0
37,26.jpg,white,sad,43.0
38,27.jpg,white,neutral,37.0
39,28.jpg,white,happy,35.0
40,29.jpg,white,sad,46.0
41,3.jpg,,,
42,30.jpg,white,surprise,39.0
43,31.jpg,white,happy,36.0
44,32.jpg,white,neutral,42.0
45,33.jpg,white,neutral,39.0
46,34.jpg,white,sad,44.0
47,35.jpg,white,neutral,44.0
48,36.jpg,white,neutral,35.0
49,37.jpg,white,sad,38.0
50,38.jpg,white,sad,44.0
51,39.jpg,white,neutral,37.0
52,4.jpg,,,
53,40.jpg,white,surprise,41.0
54,41.jpg,white,sad,39.0
55,42.jpg,white,fear,42.0
56,43.jpg,white,neutral,45.0
57,44.jpg,white,angry,39.0
58,45.jpg,white,surprise,40.0
59,46.jpg,middle eastern,sad,37.0
60,47.jpg,white,fear,32.0
61,48.jpg,white,happy,44.0
62,49.jpg,white,fear,33.0
63,5.jpg,,,
64,50.jpg,middle eastern,happy,36.0
65,51.jpg,white,fear,37.0
66,52.jpg,white,neutral,38.0
67,53.jpg,white,neutral,38.0
68,54.jpg,white,neutral,37.0
69,55.jpg,middle eastern,neutral,34.0
70,56.jpg,middle eastern,neutral,35.0
71,57.jpg,middle eastern,neutral,35.0
72,58.jpg,middle eastern,sad,32.0
73,59.jpg,,,
74,6.jpg,white,surprise,38.0
75,60.jpg,white,neutral,36.0
76,61.jpg,middle eastern,neutral,35.0
77,62.jpg,white,fear,35.0
78,63.jpg,middle eastern,neutral,35.0
79,64.jpg,white,neutral,39.0
80,65.jpg,white,neutral,41.0
81,66.jpg,white,sad,27.0
82,67.jpg,white,neutral,37.0
83,68.jpg,white,sad,35.0
84,69.jpg,white,neutral,39.0
85,7.jpg,white,fear,35.0
86,70.jpg,middle eastern,sad,36.0
87,71.jpg,white,happy,34.0
88,72.jpg,white,neutral,38.0
89,73.jpg,,,
90,74.jpg,middle eastern,neutral,34.0
91,75.jpg,,,
92,76.jpg,white,sad,36.0
93,77.jpg,latino hispanic,neutral,34.0
94,78.jpg,middle eastern,neutral,35.0
95,79.jpg,middle eastern,neutral,35.0
96,8.jpg,white,angry,40.0
97,80.jpg,latino hispanic,sad,34.0
98,81.jpg,white,neutral,45.0
99,82.jpg,white,neutral,36.0
100,83.jpg,middle eastern,neutral,37.0
101,84.jpg,middle eastern,sad,37.0
102,85.jpg,white,surprise,37.0
103,86.jpg,white,neutral,34.0
104,87.jpg,white,neutral,37.0
105,88.jpg,white,neutral,41.0
106,89.jpg,middle eastern,neutral,38.0
107,9.jpg,white,neutral,42.0
108,90.jpg,white,happy,38.0
109,91.jpg,white,sad,47.0
110,92.jpg,white,fear,35.0
111,93.jpg,white,fear,31.0
112,94.jpg,white,neutral,44.0
113,95.jpg,white,neutral,39.0
114,96.jpg,white,neutral,43.0
115,97.jpg,white,fear,35.0
116,98.jpg,white,angry,39.0
117,99.jpg,white,neutral,42.0
