,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,sad,32.0
1,1.jpg,white,sad,31.0
2,10.jpg,white,neutral,30.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,middle eastern,neutral,34.0
14,12.jpg,white,neutral,33.0
15,13.jpg,white,neutral,32.0
16,14.jpg,white,neutral,36.0
17,15.jpg,white,neutral,31.0
18,16.jpg,white,happy,32.0
19,17.jpg,white,neutral,37.0
20,18.jpg,white,neutral,35.0
21,19.jpg,white,neutral,35.0
22,2.jpg,white,fear,31.0
23,20.jpg,white,neutral,30.0
24,21.jpg,white,neutral,31.0
25,22.jpg,white,happy,25.0
26,23.jpg,white,fear,31.0
27,24.jpg,white,happy,24.0
28,25.jpg,white,neutral,26.0
29,26.jpg,,,
30,27.jpg,,,
31,28.jpg,white,neutral,32.0
32,29.jpg,white,neutral,35.0
33,3.jpg,white,neutral,34.0
34,30.jpg,white,neutral,30.0
35,31.jpg,white,neutral,34.0
36,32.jpg,white,neutral,30.0
37,33.jpg,white,neutral,30.0
38,34.jpg,white,neutral,31.0
39,35.jpg,white,sad,31.0
40,36.jpg,white,sad,32.0
41,37.jpg,white,neutral,35.0
42,38.jpg,white,neutral,35.0
43,39.jpg,white,neutral,34.0
44,4.jpg,white,neutral,31.0
45,40.jpg,white,neutral,41.0
46,41.jpg,latino hispanic,neutral,37.0
47,42.jpg,white,neutral,25.0
48,43.jpg,,,
49,44.jpg,,,
50,45.jpg,,,
51,46.jpg,,,
52,47.jpg,white,sad,29.0
53,48.jpg,white,sad,32.0
54,49.jpg,white,neutral,33.0
55,5.jpg,white,neutral,34.0
56,50.jpg,white,neutral,32.0
57,51.jpg,white,neutral,34.0
58,52.jpg,white,neutral,34.0
59,53.jpg,white,neutral,34.0
60,54.jpg,white,neutral,31.0
61,55.jpg,white,neutral,37.0
62,56.jpg,white,neutral,36.0
63,57.jpg,white,neutral,32.0
64,58.jpg,,,
65,59.jpg,,,
66,6.jpg,white,neutral,32.0
67,60.jpg,,,
68,61.jpg,,,
69,62.jpg,,,
70,63.jpg,white,neutral,35.0
71,64.jpg,white,neutral,30.0
72,65.jpg,white,neutral,34.0
73,66.jpg,white,neutral,33.0
74,67.jpg,white,neutral,34.0
75,68.jpg,white,neutral,29.0
76,69.jpg,white,neutral,35.0
77,7.jpg,white,neutral,37.0
78,70.jpg,middle eastern,neutral,33.0
79,71.jpg,white,sad,29.0
80,72.jpg,latino hispanic,sad,33.0
81,73.jpg,latino hispanic,sad,33.0
82,74.jpg,latino hispanic,sad,34.0
83,75.jpg,latino hispanic,fear,30.0
84,76.jpg,latino hispanic,sad,31.0
85,77.jpg,white,neutral,32.0
86,78.jpg,white,neutral,32.0
87,79.jpg,white,neutral,32.0
88,8.jpg,white,neutral,36.0
89,80.jpg,white,neutral,32.0
90,81.jpg,white,neutral,31.0
91,82.jpg,white,neutral,33.0
92,83.jpg,white,neutral,33.0
93,84.jpg,white,neutral,35.0
94,85.jpg,white,neutral,32.0
95,86.jpg,white,neutral,33.0
96,87.jpg,white,neutral,33.0
97,88.jpg,white,neutral,37.0
98,89.jpg,white,neutral,36.0
99,9.jpg,white,neutral,31.0
100,90.jpg,middle eastern,neutral,34.0
101,91.jpg,white,neutral,35.0
102,92.jpg,white,neutral,34.0
103,93.jpg,white,neutral,35.0
104,94.jpg,white,fear,31.0
105,95.jpg,white,sad,31.0
106,96.jpg,white,neutral,31.0
107,97.jpg,white,neutral,34.0
108,98.jpg,,,
109,99.jpg,,,
