,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,latino hispanic,neutral,27.0
3,11.jpg,latino hispanic,neutral,25.0
4,12.jpg,latino hispanic,neutral,26.0
5,13.jpg,latino hispanic,neutral,26.0
6,14.jpg,latino hispanic,neutral,24.0
7,15.jpg,latino hispanic,neutral,25.0
8,16.jpg,latino hispanic,neutral,26.0
9,17.jpg,black,neutral,25.0
10,18.jpg,latino hispanic,neutral,26.0
11,19.jpg,latino hispanic,neutral,25.0
12,2.jpg,,,
13,20.jpg,latino hispanic,neutral,26.0
14,21.jpg,black,neutral,25.0
15,22.jpg,black,neutral,26.0
16,23.jpg,latino hispanic,neutral,27.0
17,24.jpg,black,neutral,25.0
18,25.jpg,latino hispanic,neutral,25.0
19,26.jpg,latino hispanic,neutral,25.0
20,27.jpg,latino hispanic,neutral,24.0
21,28.jpg,black,neutral,25.0
22,29.jpg,latino hispanic,neutral,26.0
23,3.jpg,,,
24,30.jpg,latino hispanic,neutral,26.0
25,31.jpg,latino hispanic,neutral,25.0
26,32.jpg,latino hispanic,neutral,25.0
27,33.jpg,latino hispanic,neutral,32.0
28,34.jpg,latino hispanic,neutral,24.0
29,35.jpg,latino hispanic,neutral,26.0
30,36.jpg,latino hispanic,happy,24.0
31,37.jpg,latino hispanic,neutral,26.0
32,38.jpg,latino hispanic,neutral,26.0
33,39.jpg,latino hispanic,happy,26.0
34,4.jpg,,,
35,40.jpg,latino hispanic,neutral,26.0
36,41.jpg,latino hispanic,neutral,25.0
37,42.jpg,middle eastern,sad,33.0
38,43.jpg,latino hispanic,neutral,24.0
39,44.jpg,latino hispanic,neutral,25.0
40,45.jpg,latino hispanic,neutral,25.0
41,46.jpg,latino hispanic,neutral,27.0
42,47.jpg,latino hispanic,neutral,26.0
43,48.jpg,latino hispanic,sad,25.0
44,49.jpg,latino hispanic,neutral,25.0
45,5.jpg,,,
46,50.jpg,latino hispanic,neutral,25.0
47,51.jpg,black,neutral,25.0
48,52.jpg,black,neutral,26.0
49,53.jpg,latino hispanic,neutral,27.0
50,54.jpg,latino hispanic,neutral,25.0
51,55.jpg,black,neutral,25.0
52,56.jpg,,,
53,57.jpg,,,
54,58.jpg,,,
55,59.jpg,,,
56,6.jpg,,,
57,7.jpg,latino hispanic,neutral,24.0
58,8.jpg,latino hispanic,neutral,26.0
59,9.jpg,latino hispanic,neutral,23.0
