,frame,dominant_race,dominant_emotion,age
0,0.jpg,asian,neutral,32
1,1.jpg,white,neutral,32
2,10.jpg,white,sad,26
3,100.jpg,asian,fear,30
4,101.jpg,asian,neutral,33
5,102.jpg,asian,sad,35
6,103.jpg,latino hispanic,happy,32
7,104.jpg,white,neutral,34
8,105.jpg,white,sad,35
9,106.jpg,white,neutral,35
10,107.jpg,asian,neutral,34
11,108.jpg,white,neutral,34
12,109.jpg,asian,sad,33
13,11.jpg,white,neutral,26
14,110.jpg,asian,sad,34
15,111.jpg,white,neutral,34
16,112.jpg,white,neutral,35
17,113.jpg,asian,sad,34
18,114.jpg,white,sad,32
19,115.jpg,asian,sad,31
20,116.jpg,white,sad,32
21,117.jpg,white,sad,33
22,118.jpg,white,neutral,31
23,119.jpg,white,happy,35
24,12.jpg,white,fear,27
25,120.jpg,white,neutral,30
26,121.jpg,white,angry,31
27,122.jpg,asian,neutral,35
28,123.jpg,asian,surprise,35
29,124.jpg,white,sad,33
30,125.jpg,asian,sad,33
31,126.jpg,asian,fear,33
32,127.jpg,asian,fear,37
33,128.jpg,asian,fear,38
34,129.jpg,middle eastern,neutral,35
35,13.jpg,white,fear,27
36,130.jpg,middle eastern,sad,31
37,131.jpg,middle eastern,fear,34
38,132.jpg,asian,angry,34
39,133.jpg,asian,neutral,35
40,134.jpg,asian,neutral,34
41,135.jpg,asian,angry,34
42,136.jpg,asian,neutral,34
43,137.jpg,white,neutral,25
44,138.jpg,white,neutral,40
45,139.jpg,white,fear,35
46,14.jpg,white,fear,27
47,140.jpg,latino hispanic,happy,36
48,141.jpg,asian,sad,35
49,142.jpg,asian,angry,31
50,143.jpg,white,sad,30
51,144.jpg,white,neutral,37
52,145.jpg,asian,neutral,32
53,146.jpg,white,fear,31
54,147.jpg,white,sad,35
55,148.jpg,middle eastern,angry,33
56,149.jpg,white,neutral,32
57,15.jpg,asian,sad,35
58,150.jpg,asian,neutral,34
59,151.jpg,asian,neutral,34
60,152.jpg,asian,fear,35
61,153.jpg,asian,sad,30
62,154.jpg,asian,sad,32
63,155.jpg,white,fear,28
64,156.jpg,asian,angry,33
65,157.jpg,white,happy,34
66,158.jpg,asian,neutral,33
67,159.jpg,white,neutral,31
68,16.jpg,asian,surprise,27
69,160.jpg,asian,neutral,35
70,161.jpg,latino hispanic,sad,28
71,162.jpg,latino hispanic,sad,27
72,163.jpg,white,fear,32
73,164.jpg,latino hispanic,happy,30
74,165.jpg,white,neutral,33
75,166.jpg,white,angry,33
76,167.jpg,asian,fear,33
77,168.jpg,white,fear,29
78,169.jpg,white,neutral,31
79,17.jpg,asian,angry,34
80,170.jpg,middle eastern,sad,33
81,171.jpg,white,neutral,34
