,frame,dominant_race,dominant_emotion,age
0,0.jpg,latino hispanic,neutral,31.0
1,1.jpg,white,neutral,31.0
2,10.jpg,latino hispanic,neutral,26.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,sad,38.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,sad,37.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,middle eastern,neutral,30.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,white,neutral,31.0
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,white,neutral,31.0
45,139.jpg,,,
46,14.jpg,white,neutral,30.0
47,140.jpg,middle eastern,surprise,32.0
48,141.jpg,,,
49,142.jpg,middle eastern,angry,32.0
50,143.jpg,,,
51,144.jpg,middle eastern,fear,26.0
52,145.jpg,white,happy,35.0
53,146.jpg,white,sad,34.0
54,147.jpg,white,sad,35.0
55,148.jpg,latino hispanic,surprise,29.0
56,149.jpg,white,fear,31.0
57,15.jpg,white,surprise,32.0
58,150.jpg,white,happy,32.0
59,151.jpg,white,happy,31.0
60,152.jpg,,,
61,153.jpg,middle eastern,neutral,32.0
62,154.jpg,white,neutral,31.0
63,155.jpg,white,fear,25.0
64,156.jpg,white,sad,27.0
65,157.jpg,white,neutral,31.0
66,158.jpg,white,sad,28.0
67,159.jpg,latino hispanic,fear,30.0
68,16.jpg,middle eastern,happy,28.0
69,160.jpg,middle eastern,fear,26.0
70,161.jpg,white,neutral,28.0
71,162.jpg,white,neutral,33.0
72,163.jpg,white,fear,28.0
73,164.jpg,white,surprise,31.0
74,165.jpg,white,happy,32.0
75,166.jpg,white,sad,27.0
76,167.jpg,white,fear,31.0
77,168.jpg,white,neutral,30.0
78,169.jpg,white,fear,27.0
79,17.jpg,middle eastern,sad,37.0
80,170.jpg,white,angry,32.0
81,171.jpg,white,surprise,32.0
82,172.jpg,white,angry,30.0
83,173.jpg,latino hispanic,fear,26.0
84,174.jpg,white,neutral,32.0
85,175.jpg,middle eastern,fear,35.0
86,176.jpg,middle eastern,neutral,28.0
87,177.jpg,middle eastern,neutral,26.0
88,178.jpg,middle eastern,fear,35.0
89,179.jpg,white,sad,29.0
90,18.jpg,white,surprise,29.0
91,180.jpg,white,sad,30.0
92,181.jpg,white,sad,30.0
93,182.jpg,middle eastern,neutral,28.0
94,183.jpg,white,surprise,32.0
95,184.jpg,white,fear,31.0
96,185.jpg,middle eastern,happy,29.0
97,186.jpg,middle eastern,fear,35.0
98,187.jpg,white,happy,35.0
99,188.jpg,middle eastern,happy,32.0
100,189.jpg,white,neutral,30.0
101,19.jpg,white,neutral,34.0
