,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,asian,neutral,44.0
3,100.jpg,white,neutral,36.0
4,101.jpg,asian,neutral,38.0
5,102.jpg,asian,fear,41.0
6,103.jpg,asian,happy,39.0
7,104.jpg,asian,sad,39.0
8,105.jpg,asian,neutral,35.0
9,106.jpg,asian,neutral,39.0
10,107.jpg,asian,neutral,37.0
11,108.jpg,,,
12,109.jpg,white,neutral,33.0
13,11.jpg,white,neutral,36.0
14,110.jpg,white,neutral,36.0
15,111.jpg,asian,fear,33.0
16,112.jpg,white,fear,33.0
17,113.jpg,asian,neutral,31.0
18,114.jpg,white,neutral,41.0
19,115.jpg,white,sad,42.0
20,116.jpg,asian,neutral,39.0
21,117.jpg,asian,sad,37.0
22,118.jpg,white,sad,38.0
23,119.jpg,black,neutral,24.0
24,12.jpg,middle eastern,neutral,28.0
25,120.jpg,white,angry,46.0
26,121.jpg,white,neutral,39.0
27,122.jpg,asian,neutral,28.0
28,123.jpg,white,sad,28.0
29,124.jpg,white,fear,23.0
30,125.jpg,white,fear,23.0
31,126.jpg,white,fear,23.0
32,127.jpg,white,fear,23.0
33,128.jpg,white,fear,22.0
34,129.jpg,white,neutral,28.0
35,13.jpg,asian,neutral,29.0
36,130.jpg,white,neutral,40.0
37,131.jpg,asian,neutral,37.0
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,14.jpg,asian,neutral,31.0
46,15.jpg,asian,neutral,39.0
47,16.jpg,white,fear,42.0
48,17.jpg,white,fear,41.0
49,18.jpg,white,surprise,44.0
50,19.jpg,white,neutral,39.0
51,2.jpg,,,
52,20.jpg,asian,sad,38.0
53,21.jpg,asian,neutral,31.0
54,22.jpg,asian,neutral,29.0
55,23.jpg,white,neutral,43.0
56,24.jpg,,,
57,25.jpg,,,
58,26.jpg,,,
59,27.jpg,white,fear,23.0
60,28.jpg,,,
61,29.jpg,white,sad,33.0
62,3.jpg,,,
63,30.jpg,white,sad,34.0
64,31.jpg,white,fear,37.0
65,32.jpg,white,fear,35.0
66,33.jpg,asian,neutral,26.0
67,34.jpg,white,angry,35.0
68,35.jpg,white,sad,32.0
69,36.jpg,white,fear,35.0
70,37.jpg,asian,sad,34.0
71,38.jpg,asian,neutral,31.0
72,39.jpg,white,fear,30.0
73,4.jpg,asian,angry,42.0
74,40.jpg,asian,sad,32.0
75,41.jpg,white,sad,33.0
76,42.jpg,white,fear,35.0
77,43.jpg,asian,sad,30.0
78,44.jpg,,,
79,45.jpg,white,fear,32.0
80,46.jpg,white,fear,35.0
81,47.jpg,,,
82,48.jpg,,,
83,49.jpg,,,
84,5.jpg,white,neutral,39.0
85,50.jpg,,,
86,51.jpg,asian,angry,33.0
87,52.jpg,white,neutral,31.0
88,53.jpg,white,neutral,31.0
89,54.jpg,white,angry,34.0
90,55.jpg,white,sad,30.0
91,56.jpg,,,
92,57.jpg,,,
93,58.jpg,,,
94,59.jpg,,,
95,6.jpg,white,fear,39.0
96,60.jpg,,,
97,61.jpg,,,
98,62.jpg,,,
99,63.jpg,,,
100,64.jpg,,,
101,65.jpg,,,
102,66.jpg,,,
103,67.jpg,,,
104,68.jpg,,,
105,69.jpg,,,
106,7.jpg,asian,sad,34.0
107,70.jpg,,,
108,71.jpg,,,
109,72.jpg,,,
110,73.jpg,,,
111,74.jpg,,,
112,75.jpg,,,
113,76.jpg,,,
114,77.jpg,,,
115,78.jpg,,,
116,79.jpg,,,
117,8.jpg,white,sad,39.0
118,80.jpg,,,
119,81.jpg,,,
120,82.jpg,,,
121,83.jpg,,,
122,84.jpg,,,
123,85.jpg,,,
124,86.jpg,,,
125,87.jpg,,,
126,88.jpg,,,
127,89.jpg,,,
128,9.jpg,middle eastern,neutral,27.0
129,90.jpg,,,
130,91.jpg,,,
131,92.jpg,,,
132,93.jpg,,,
133,94.jpg,,,
134,95.jpg,,,
135,96.jpg,asian,neutral,32.0
136,97.jpg,white,fear,33.0
137,98.jpg,white,angry,34.0
138,99.jpg,white,fear,36.0
