,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,34.0
1,1.jpg,,,
2,10.jpg,white,surprise,28.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,white,angry,34.0
13,11.jpg,,,
14,110.jpg,,,
15,111.jpg,white,happy,35.0
16,112.jpg,white,surprise,36.0
17,113.jpg,,,
18,114.jpg,white,neutral,43.0
19,115.jpg,white,fear,23.0
20,116.jpg,white,fear,24.0
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,,,
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,white,surprise,34.0
28,123.jpg,,,
29,124.jpg,white,fear,24.0
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,white,fear,22.0
36,130.jpg,white,neutral,33.0
37,131.jpg,white,surprise,24.0
38,132.jpg,white,neutral,37.0
39,133.jpg,white,fear,29.0
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,white,fear,23.0
46,14.jpg,white,fear,22.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,white,fear,23.0
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,white,angry,32.0
57,15.jpg,,,
58,150.jpg,,,
59,151.jpg,white,fear,40.0
60,152.jpg,white,fear,36.0
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,white,happy,30.0
65,157.jpg,white,fear,34.0
66,158.jpg,,,
67,159.jpg,white,angry,32.0
68,16.jpg,white,fear,30.0
69,160.jpg,,,
70,161.jpg,white,surprise,31.0
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,white,angry,30.0
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,white,fear,28.0
85,175.jpg,,,
86,176.jpg,white,fear,24.0
87,177.jpg,,,
88,178.jpg,,,
89,179.jpg,white,fear,30.0
90,18.jpg,,,
91,180.jpg,,,
92,181.jpg,,,
93,182.jpg,white,angry,33.0
94,183.jpg,asian,sad,34.0
95,184.jpg,white,happy,29.0
96,185.jpg,,,
97,186.jpg,,,
98,187.jpg,,,
99,188.jpg,,,
100,189.jpg,,,
101,19.jpg,white,neutral,33.0
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,,,
107,195.jpg,,,
108,196.jpg,,,
109,197.jpg,,,
110,198.jpg,white,neutral,45.0
111,199.jpg,asian,neutral,38.0
112,2.jpg,asian,neutral,28.0
113,20.jpg,,,
114,200.jpg,white,neutral,38.0
115,201.jpg,,,
116,202.jpg,white,fear,37.0
117,203.jpg,white,fear,37.0
118,204.jpg,white,neutral,39.0
119,205.jpg,white,happy,31.0
120,206.jpg,white,fear,33.0
121,207.jpg,,,
122,21.jpg,white,surprise,33.0
123,22.jpg,white,angry,42.0
124,23.jpg,,,
125,24.jpg,,,
126,25.jpg,,,
127,26.jpg,white,neutral,35.0
128,27.jpg,,,
129,28.jpg,,,
130,29.jpg,,,
131,3.jpg,white,neutral,38.0
132,30.jpg,white,fear,24.0
133,31.jpg,,,
134,32.jpg,,,
135,33.jpg,white,neutral,38.0
136,34.jpg,asian,neutral,27.0
137,35.jpg,,,
138,36.jpg,white,fear,28.0
139,37.jpg,,,
140,38.jpg,,,
141,39.jpg,,,
142,4.jpg,white,neutral,27.0
143,40.jpg,asian,happy,29.0
144,41.jpg,asian,happy,30.0
145,42.jpg,white,neutral,37.0
146,43.jpg,,,
147,44.jpg,,,
148,45.jpg,,,
149,46.jpg,,,
150,47.jpg,,,
151,48.jpg,,,
152,49.jpg,,,
153,5.jpg,white,angry,28.0
154,50.jpg,,,
155,51.jpg,,,
156,52.jpg,white,happy,34.0
157,53.jpg,,,
158,54.jpg,,,
159,55.jpg,,,
160,56.jpg,white,fear,24.0
161,57.jpg,,,
162,58.jpg,,,
163,59.jpg,,,
164,6.jpg,white,neutral,33.0
165,60.jpg,,,
166,61.jpg,,,
167,62.jpg,white,fear,23.0
168,63.jpg,,,
169,64.jpg,white,angry,34.0
170,65.jpg,white,angry,25.0
171,66.jpg,white,fear,23.0
172,67.jpg,,,
173,68.jpg,,,
174,69.jpg,,,
175,7.jpg,asian,fear,33.0
176,70.jpg,asian,happy,34.0
177,71.jpg,,,
178,72.jpg,white,fear,23.0
179,73.jpg,,,
180,74.jpg,white,fear,23.0
181,75.jpg,white,happy,33.0
182,76.jpg,,,
183,77.jpg,,,
184,78.jpg,,,
185,79.jpg,,,
186,8.jpg,,,
187,80.jpg,,,
188,81.jpg,,,
189,82.jpg,,,
190,83.jpg,,,
191,84.jpg,white,fear,23.0
192,85.jpg,,,
193,86.jpg,white,angry,24.0
194,87.jpg,,,
195,88.jpg,white,sad,29.0
196,89.jpg,,,
197,9.jpg,white,surprise,34.0
198,90.jpg,,,
199,91.jpg,,,
200,92.jpg,asian,fear,26.0
201,93.jpg,,,
202,94.jpg,,,
203,95.jpg,,,
204,96.jpg,,,
205,97.jpg,,,
206,98.jpg,,,
207,99.jpg,,,
