,frame,dominant_race,dominant_emotion,age
0,0.jpg,black,neutral,35.0
1,1.jpg,black,neutral,32.0
2,10.jpg,,,
3,100.jpg,,,
4,101.jpg,latino hispanic,neutral,32.0
5,102.jpg,black,neutral,31.0
6,103.jpg,latino hispanic,neutral,28.0
7,104.jpg,,,
8,105.jpg,black,neutral,30.0
9,106.jpg,black,neutral,32.0
10,107.jpg,latino hispanic,neutral,28.0
11,108.jpg,latino hispanic,neutral,25.0
12,109.jpg,black,neutral,33.0
13,11.jpg,,,
14,110.jpg,black,neutral,33.0
15,111.jpg,middle eastern,neutral,27.0
16,112.jpg,middle eastern,neutral,24.0
17,113.jpg,middle eastern,neutral,24.0
18,114.jpg,black,neutral,31.0
19,115.jpg,black,neutral,27.0
20,116.jpg,black,neutral,25.0
21,117.jpg,latino hispanic,neutral,30.0
22,118.jpg,white,sad,33.0
23,119.jpg,black,neutral,33.0
24,12.jpg,,,
25,120.jpg,black,neutral,33.0
26,121.jpg,latino hispanic,neutral,30.0
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,latino hispanic,happy,26.0
31,126.jpg,white,neutral,30.0
32,127.jpg,black,happy,35.0
33,128.jpg,white,neutral,33.0
34,129.jpg,latino hispanic,fear,28.0
35,13.jpg,,,
36,130.jpg,white,sad,27.0
37,131.jpg,black,neutral,31.0
38,132.jpg,white,neutral,35.0
39,133.jpg,black,sad,26.0
40,134.jpg,latino hispanic,sad,31.0
41,135.jpg,black,neutral,32.0
42,136.jpg,black,sad,31.0
43,137.jpg,middle eastern,sad,28.0
44,138.jpg,black,neutral,25.0
45,139.jpg,latino hispanic,neutral,31.0
46,14.jpg,,,
47,140.jpg,black,neutral,29.0
48,141.jpg,latino hispanic,neutral,30.0
49,142.jpg,black,neutral,31.0
50,143.jpg,latino hispanic,neutral,33.0
51,144.jpg,latino hispanic,neutral,26.0
52,145.jpg,,,
53,146.jpg,latino hispanic,sad,26.0
54,147.jpg,latino hispanic,neutral,29.0
55,148.jpg,latino hispanic,neutral,27.0
56,149.jpg,latino hispanic,happy,29.0
57,15.jpg,,,
58,150.jpg,latino hispanic,neutral,32.0
59,151.jpg,latino hispanic,neutral,30.0
60,152.jpg,latino hispanic,neutral,30.0
61,153.jpg,middle eastern,happy,25.0
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,latino hispanic,neutral,31.0
66,158.jpg,middle eastern,neutral,31.0
67,159.jpg,latino hispanic,fear,30.0
68,16.jpg,white,fear,31.0
69,160.jpg,latino hispanic,neutral,30.0
70,161.jpg,middle eastern,neutral,32.0
71,162.jpg,latino hispanic,neutral,32.0
72,163.jpg,latino hispanic,neutral,29.0
73,164.jpg,latino hispanic,neutral,29.0
74,165.jpg,,,
75,17.jpg,white,fear,32.0
76,18.jpg,,,
77,19.jpg,,,
78,2.jpg,,,
79,20.jpg,,,
80,21.jpg,,,
81,22.jpg,,,
82,23.jpg,white,neutral,32.0
83,24.jpg,white,neutral,31.0
84,25.jpg,asian,neutral,32.0
85,26.jpg,,,
86,27.jpg,,,
87,28.jpg,,,
88,29.jpg,,,
89,3.jpg,,,
90,30.jpg,,,
91,31.jpg,,,
92,32.jpg,,,
93,33.jpg,,,
94,34.jpg,,,
95,35.jpg,,,
96,36.jpg,,,
97,37.jpg,,,
98,38.jpg,,,
99,39.jpg,,,
100,4.jpg,,,
101,40.jpg,,,
102,41.jpg,,,
103,42.jpg,,,
104,43.jpg,,,
105,44.jpg,,,
106,45.jpg,white,neutral,30.0
107,46.jpg,,,
108,47.jpg,,,
109,48.jpg,,,
110,49.jpg,,,
111,5.jpg,,,
112,50.jpg,,,
113,51.jpg,,,
114,52.jpg,,,
115,53.jpg,,,
116,54.jpg,,,
117,55.jpg,,,
118,56.jpg,,,
119,57.jpg,,,
120,58.jpg,,,
121,59.jpg,,,
122,6.jpg,,,
123,60.jpg,latino hispanic,neutral,28.0
124,61.jpg,,,
125,62.jpg,,,
126,63.jpg,,,
127,64.jpg,,,
128,65.jpg,asian,neutral,32.0
129,66.jpg,,,
130,67.jpg,,,
131,68.jpg,,,
132,69.jpg,,,
133,7.jpg,,,
134,70.jpg,,,
135,71.jpg,,,
136,72.jpg,,,
137,73.jpg,,,
138,74.jpg,,,
139,75.jpg,,,
140,76.jpg,,,
141,77.jpg,,,
142,78.jpg,,,
143,79.jpg,,,
144,8.jpg,,,
145,80.jpg,white,neutral,25.0
146,81.jpg,white,neutral,25.0
147,82.jpg,white,neutral,27.0
148,83.jpg,white,neutral,26.0
149,84.jpg,white,neutral,27.0
150,85.jpg,white,fear,25.0
151,86.jpg,white,neutral,27.0
152,87.jpg,,,
153,88.jpg,,,
154,89.jpg,,,
155,9.jpg,asian,neutral,28.0
156,90.jpg,,,
157,91.jpg,,,
158,92.jpg,,,
159,93.jpg,,,
160,94.jpg,,,
161,95.jpg,,,
162,96.jpg,,,
163,97.jpg,,,
164,98.jpg,,,
165,99.jpg,,,
