,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,37.0
1,1.jpg,white,fear,40.0
2,10.jpg,,,
3,100.jpg,,,
4,101.jpg,white,happy,36.0
5,102.jpg,white,sad,34.0
6,103.jpg,white,angry,34.0
7,104.jpg,white,neutral,25.0
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,white,neutral,34.0
12,109.jpg,white,angry,33.0
13,11.jpg,,,
14,110.jpg,white,neutral,42.0
15,111.jpg,,,
16,112.jpg,white,neutral,40.0
17,113.jpg,white,fear,41.0
18,114.jpg,white,angry,38.0
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,angry,33.0
25,120.jpg,,,
26,121.jpg,white,fear,38.0
27,122.jpg,white,angry,36.0
28,123.jpg,white,neutral,39.0
29,124.jpg,asian,happy,31.0
30,125.jpg,white,neutral,33.0
31,126.jpg,white,angry,34.0
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,white,sad,35.0
36,130.jpg,white,sad,34.0
37,131.jpg,white,fear,39.0
38,132.jpg,white,happy,37.0
39,133.jpg,white,fear,32.0
40,134.jpg,white,angry,37.0
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,14.jpg,white,neutral,36.0
45,15.jpg,white,neutral,37.0
46,16.jpg,white,angry,42.0
47,17.jpg,white,neutral,37.0
48,18.jpg,,,
49,19.jpg,,,
50,2.jpg,white,surprise,39.0
51,20.jpg,,,
52,21.jpg,,,
53,22.jpg,,,
54,23.jpg,,,
55,24.jpg,white,sad,32.0
56,25.jpg,white,surprise,39.0
57,26.jpg,white,happy,31.0
58,27.jpg,white,neutral,29.0
59,28.jpg,,,
60,29.jpg,,,
61,3.jpg,white,sad,34.0
62,30.jpg,,,
63,31.jpg,white,angry,32.0
64,32.jpg,white,angry,35.0
65,33.jpg,white,happy,32.0
66,34.jpg,white,sad,33.0
67,35.jpg,white,neutral,39.0
68,36.jpg,,,
69,37.jpg,,,
70,38.jpg,,,
71,39.jpg,,,
72,4.jpg,white,sad,34.0
73,40.jpg,,,
74,41.jpg,white,surprise,37.0
75,42.jpg,white,fear,39.0
76,43.jpg,white,fear,39.0
77,44.jpg,white,surprise,35.0
78,45.jpg,white,fear,39.0
79,46.jpg,white,angry,33.0
80,47.jpg,white,sad,38.0
81,48.jpg,white,neutral,36.0
82,49.jpg,,,
83,5.jpg,white,angry,33.0
84,50.jpg,,,
85,51.jpg,,,
86,52.jpg,white,surprise,33.0
87,53.jpg,white,angry,42.0
88,54.jpg,white,sad,34.0
89,55.jpg,white,fear,38.0
90,56.jpg,white,angry,41.0
91,57.jpg,white,neutral,39.0
92,58.jpg,white,fear,39.0
93,59.jpg,,,
94,6.jpg,white,angry,34.0
95,60.jpg,,,
96,61.jpg,white,happy,32.0
97,62.jpg,white,happy,32.0
98,63.jpg,white,fear,39.0
99,64.jpg,white,fear,32.0
100,65.jpg,,,
101,66.jpg,white,neutral,33.0
102,67.jpg,white,fear,36.0
103,68.jpg,white,angry,41.0
104,69.jpg,white,neutral,39.0
105,7.jpg,,,
106,70.jpg,,,
107,71.jpg,,,
108,72.jpg,,,
109,73.jpg,,,
110,74.jpg,,,
111,75.jpg,,,
112,76.jpg,white,angry,35.0
113,77.jpg,white,angry,36.0
114,78.jpg,white,neutral,37.0
115,79.jpg,white,angry,33.0
116,8.jpg,,,
117,80.jpg,white,angry,36.0
118,81.jpg,white,sad,33.0
119,82.jpg,,,
120,83.jpg,,,
121,84.jpg,,,
122,85.jpg,,,
123,86.jpg,white,fear,33.0
124,87.jpg,white,neutral,39.0
125,88.jpg,white,fear,39.0
126,89.jpg,white,surprise,34.0
127,9.jpg,,,
128,90.jpg,white,neutral,39.0
129,91.jpg,white,sad,34.0
130,92.jpg,,,
131,93.jpg,,,
132,94.jpg,,,
133,95.jpg,white,sad,39.0
134,96.jpg,white,angry,31.0
135,97.jpg,white,angry,41.0
136,98.jpg,white,fear,30.0
137,99.jpg,,,
