,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,sad,26.0
1,1.jpg,white,fear,35.0
2,10.jpg,,,
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,white,neutral,33.0
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,,,
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,white,fear,51.0
19,115.jpg,indian,sad,36.0
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,,,
25,120.jpg,,,
26,121.jpg,white,angry,28.0
27,122.jpg,,,
28,123.jpg,white,angry,33.0
29,124.jpg,,,
30,125.jpg,white,fear,26.0
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,middle eastern,neutral,28.0
36,130.jpg,,,
37,131.jpg,black,sad,32.0
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,middle eastern,surprise,31.0
43,137.jpg,indian,neutral,30.0
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,middle eastern,neutral,28.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,middle eastern,sad,35.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,,,
69,17.jpg,,,
70,18.jpg,asian,happy,38.0
71,19.jpg,asian,fear,25.0
72,2.jpg,,,
73,20.jpg,asian,happy,38.0
74,21.jpg,,,
75,22.jpg,white,angry,45.0
76,23.jpg,,,
77,24.jpg,white,neutral,26.0
78,25.jpg,white,neutral,28.0
79,26.jpg,white,sad,27.0
80,27.jpg,,,
81,28.jpg,,,
82,29.jpg,white,fear,24.0
83,3.jpg,,,
84,30.jpg,white,sad,27.0
85,31.jpg,middle eastern,neutral,27.0
86,32.jpg,middle eastern,sad,27.0
87,33.jpg,,,
88,34.jpg,,,
89,35.jpg,,,
90,36.jpg,,,
91,37.jpg,,,
92,38.jpg,,,
93,39.jpg,white,fear,34.0
94,4.jpg,,,
95,40.jpg,,,
96,41.jpg,,,
97,42.jpg,white,sad,24.0
98,43.jpg,asian,sad,28.0
99,44.jpg,asian,sad,33.0
100,45.jpg,,,
101,46.jpg,white,happy,27.0
102,47.jpg,white,happy,27.0
103,48.jpg,asian,sad,35.0
104,49.jpg,white,sad,26.0
105,5.jpg,,,
106,50.jpg,,,
107,51.jpg,white,neutral,27.0
108,52.jpg,,,
109,53.jpg,,,
110,54.jpg,,,
111,55.jpg,white,happy,32.0
112,56.jpg,white,happy,36.0
113,57.jpg,,,
114,58.jpg,,,
115,59.jpg,black,neutral,30.0
116,6.jpg,,,
117,60.jpg,,,
118,61.jpg,,,
119,62.jpg,,,
120,63.jpg,,,
121,64.jpg,white,fear,38.0
122,65.jpg,white,fear,26.0
123,66.jpg,white,disgust,28.0
124,67.jpg,white,neutral,25.0
125,68.jpg,white,happy,31.0
126,69.jpg,white,sad,29.0
127,7.jpg,white,sad,24.0
128,70.jpg,white,sad,27.0
129,71.jpg,,,
130,72.jpg,white,happy,47.0
131,73.jpg,asian,happy,32.0
132,74.jpg,asian,happy,32.0
133,75.jpg,,,
134,76.jpg,,,
135,77.jpg,,,
136,78.jpg,,,
137,79.jpg,,,
138,8.jpg,,,
139,80.jpg,,,
140,81.jpg,,,
141,82.jpg,,,
142,83.jpg,,,
143,84.jpg,,,
144,85.jpg,,,
145,86.jpg,,,
146,87.jpg,,,
147,88.jpg,,,
148,89.jpg,,,
149,9.jpg,,,
150,90.jpg,,,
151,91.jpg,,,
152,92.jpg,white,fear,27.0
153,93.jpg,white,fear,27.0
154,94.jpg,white,neutral,27.0
155,95.jpg,white,fear,24.0
156,96.jpg,,,
157,97.jpg,,,
158,98.jpg,,,
159,99.jpg,,,
